receiver,call target,reason if incomplete

core::result::Result,core::ops::try_trait::Try::branch,
core::result::Result,core::ops::try_trait::FromResidual::from_residual,
core::option::Option,core::ops::try_trait::Try::branch,
core::option::Option,core::ops::try_trait::FromResidual::from_residual,

*,core::clone::Clone::clone,

T,core::default::Default::default,

# impl Option
,core::option::Option<T>::is_some,
,core::option::Option<T>::is_none,
,core::option::Option<T>::as_ref,refs
,core::option::Option<T>::as_mut,refs
,core::option::Option<T>::as_pin_ref,refs
,core::option::Option<T>::as_pin_mut,refs
,core::option::Option<T>::expect,
,core::option::Option<T>::unwrap,
,core::option::Option<T>::unwrap_or,
,core::option::Option<T>::unwrap_or_else,calls
,core::option::Option<T>::unwrap_or_default,calls
,core::option::Option<T>::unwrap_unchecked,
,core::option::Option<T>::map,calls
,core::option::Option<T>::map_or,calls
,core::option::Option<T>::map_or_else,calls
,core::option::Option<T>::ok_or,
,core::option::Option<T>::ok_or_else,calls
,core::option::Option<T>::as_deref,"refs, calls"
,core::option::Option<T>::as_deref_mut,"refs, calls"
,core::option::Option<T>::and,
,core::option::Option<T>::and_then,calls
,core::option::Option<T>::filter,calls
,core::option::Option<T>::or,
,core::option::Option<T>::or_else,calls
,core::option::Option<T>::xor,
,core::option::Option<T>::insert,
,core::option::Option<T>::get_or_insert,
,core::option::Option<T>::get_or_insert_with,calls
,core::option::Option<T>::take,
,core::option::Option<T>::replace,
,core::option::Option<T>::zip,

# impl Result
,"core::result::Result<T, E>::is_ok",
,"core::result::Result<T, E>::is_err",
,"core::result::Result<T, E>::ok",
,"core::result::Result<T, E>::err",
,"core::result::Result<T, E>::as_ref",refs
,"core::result::Result<T, E>::as_mut",refs
,"core::result::Result<T, E>::map",calls
,"core::result::Result<T, E>::map_or",calls
,"core::result::Result<T, E>::map_or_else",calls
,"core::result::Result<T, E>::map_err",calls
,"core::result::Result<T, E>::as_deref","refs, calls"
,"core::result::Result<T, E>::as_deref_mut","refs, calls"
,"core::result::Result<T, E>::expect",
,"core::result::Result<T, E>::unwrap",
,"core::result::Result<T, E>::unwrap_or_default",calls
,"core::result::Result<T, E>::expect_err",
,"core::result::Result<T, E>::unwrap_err",
,"core::result::Result<T, E>::and",
,"core::result::Result<T, E>::and_then",calls
,"core::result::Result<T, E>::or",
,"core::result::Result<T, E>::or_else",calls
,"core::result::Result<T, E>::unwrap_or",
,"core::result::Result<T, E>::unwrap_or_else",calls
,"core::result::Result<T, E>::unwrap_unchecked",
,"core::result::Result<T, E>::unwrap_err_unchecked",

# synthesized by a semi-popular crate
,libsecp256k1_core::field::FieldStorage::new,synthesized
,libsecp256k1_core::group::AffineStorage::new,synthesized

# special handling by prusti
,&[T]::len,builtin
,core::panicking::panic,builtin
,core::panicking::assert_failed,builtin
,std::panicking::begin_panic,builtin
,core::panicking::panic_fmt,builtin

# blocked by issue #1221
*,core::ops::deref::Deref::deref,issue#1221
*,core::ops::index::Index::index,issue#1221
str,alloc::string::ToString::to_string,issue#1221
,alloc::string::String::as_str,issue#1221

# requires handling interior mutability (Arc, Pin, etc.)
alloc::sync::Arc,core::ops::deref::Deref::deref,interior_mutability
,alloc::sync::Arc<T>::new,interior_mutability
,core::pin::Pin<P>::new_unchecked,interior_mutability
,core::pin::Pin<P>::as_mut,interior_mutability
,core::pin::Pin<&T>::get_unchecked_mut,interior_mutability
core::pin::Pin,core::ops::deref::DerefMut::deref_mut,interior_mutability

# part of a future async project
,core::future::get_context,async
,core::future::from_generator,async
core::pin::Pin,core::future::future::Future::poll,async
core::pin::Pin,core::future::into_future::IntoFuture::into_future,async

# part of a future strings project
str,core::cmp::PartialEq::eq,strings
,alloc::fmt::format,strings
*,core::fmt::Display::fmt,strings
,core::fmt::Formatter::write_str,useless
